1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.72916, 11.45679
2, Muralha da China, Alvo, 0.9, 26.05691, 14.18571
3, Pedregulho, Alvo, 0.9, 25.26046, 12.59615
1, Árvore solitária, Alvo, 0.9, 20.16244, 13.6
2, Muralha da China, Alvo, 0.9, 26.28703, 14.3913
3, Pedregulho, Alvo, 0.9, 25.58821, 13.32653
1, Árvore solitária, Alvo, 0.9, 19.51252, 7.798387
2, Muralha da China, Alvo, 0.9, 26.01089, 11.61111
3, Pedregulho, Alvo, 0.9, 23.4097, 8.430555
1, Árvore solitária, Alvo, 0.9, 19.55855, 8.763158
2, Muralha da China, Alvo, 0.9, 26.01089, 11.77273
3, Pedregulho, Alvo, 0.9, 23.63192, 8.544118
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Árvore solitária, Alvo, 0.922263, 19.68314, 11
3, Árvore solitária, Alvo, 0.922263, 19.68314, 11
4, Árvore solitária, Alvo, 0.922263, 19.68314, 11
5, Árvore solitária, Alvo, 0.922263, 19.68314, 11
6, Árvore solitária, Centro, 0.9, 19.55855, 10.1383
7, Árvore solitária, Centro, 0.922263, 19.60457, 10.69231
8, Árvore solitária, Centro, 0.922263, 19.60457, 10.69231
9, Árvore solitária, Centro, 0.922263, 19.60457, 10.69231
10, Árvore solitária, Centro, 0.922263, 19.60457, 10.69231
11, Árvore solitária, Misto, 0.9, 19.55855, 9.693069
12, Árvore solitária, Misto, 0.922263, 19.7022, 10.68478
13, Árvore solitária, Misto, 0.922263, 19.7022, 10.68478
14, Árvore solitária, Misto, 0.922263, 19.7022, 10.68478
15, Árvore solitária, Misto, 0.922263, 19.7022, 10.68478
16, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
17, Muralha da China, Alvo, 0.922263, 26.01089, 14.07143
18, Muralha da China, Alvo, 0.922263, 26.01089, 14.07143
19, Muralha da China, Alvo, 0.922263, 26.01089, 14.07143
20, Muralha da China, Alvo, 0.922263, 26.01089, 14.07143
21, Muralha da China, Centro, 0.9, 26.01089, 14.01408
22, Muralha da China, Centro, 0.922263, 26.01089, 14.37681
23, Muralha da China, Centro, 0.922263, 26.01089, 14.37681
24, Muralha da China, Centro, 0.922263, 26.01089, 14.37681
25, Muralha da China, Centro, 0.922263, 26.01089, 14.37681
26, Muralha da China, Misto, 0.9, 26.01089, 14.27536
27, Muralha da China, Misto, 0.922263, 26.08946, 14.52941
28, Muralha da China, Misto, 0.922263, 26.08946, 14.52941
29, Muralha da China, Misto, 0.922263, 26.08946, 14.52941
30, Muralha da China, Misto, 0.922263, 26.08946, 14.52941
31, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
32, Pedregulho, Alvo, 0.922263, 23.29859, 8.6
33, Pedregulho, Alvo, 0.922263, 23.29859, 8.6
34, Pedregulho, Alvo, 0.922263, 23.29859, 8.6
35, Pedregulho, Alvo, 0.922263, 23.29859, 8.6
36, Pedregulho, Centro, 0.9, 25.22792, 12.01724
37, Pedregulho, Centro, 0.922263, 24.08985, 9.044776
38, Pedregulho, Centro, 0.922263, 24.08985, 9.044776
39, Pedregulho, Centro, 0.922263, 24.08985, 9.044776
40, Pedregulho, Centro, 0.922263, 24.08985, 9.044776
41, Pedregulho, Misto, 0.9, 25.22792, 12.56364
42, Pedregulho, Misto, 0.922263, 25.22792, 12.56364
43, Pedregulho, Misto, 0.922263, 25.22792, 12.56364
44, Pedregulho, Misto, 0.922263, 25.22792, 12.56364
45, Pedregulho, Misto, 0.922263, 25.22792, 12.56364
1, Árvore solitária, , 0.5, 24.18613, 14.88889
2, Árvore solitária, , 0.6, 24.18613, 14.88889
3, Árvore solitária, , 0.75, 24.18613, 14.88889
4, Árvore solitária, , 0.9, 21.89092, 14.87234
5, Árvore solitária, , 0.99, 19.51252, 6.904348
6, Árvore solitária, , 0.5, 22.2489, 13.61017
7, Árvore solitária, , 0.6, 22.2489, 13.61017
8, Árvore solitária, , 0.75, 22.2489, 13.61017
9, Árvore solitária, , 0.9, 21.27586, 13.66667
10, Árvore solitária, , 0.99, 19.51252, 6.904348
11, Árvore solitária, , 0.5, 20.433, 9.946809
12, Árvore solitária, , 0.6, 20.433, 9.946809
13, Árvore solitária, , 0.75, 20.433, 9.946809
14, Árvore solitária, , 0.9, 20.27355, 9.88
15, Árvore solitária, , 0.99, 19.51252, 6.904348
1, Árvore solitária, Alvo, 0.5, 20.88071, 13.61111
2, Árvore solitária, Alvo, 0.6, 20.88071, 13.61111
3, Árvore solitária, Alvo, 0.75, 20.88071, 13.61111
4, Árvore solitária, Alvo, 0.9, 20.25449, 13.66667
5, Árvore solitária, Alvo, 0.99, 19.51252, 7.387755
6, Árvore solitária, Alvo, 0.5, 20.08156, 13.4127
7, Árvore solitária, Alvo, 0.6, 20.08156, 13.4127
8, Árvore solitária, Alvo, 0.75, 20.08156, 13.4127
9, Árvore solitária, Alvo, 0.9, 19.93232, 13
10, Árvore solitária, Alvo, 0.99, 19.51252, 7.387755
11, Árvore solitária, Alvo, 0.5, 19.73475, 9.442307
12, Árvore solitária, Alvo, 0.6, 19.73475, 9.442307
13, Árvore solitária, Alvo, 0.75, 19.73475, 9.442307
14, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
15, Árvore solitária, Alvo, 0.99, 19.51252, 7.387755
16, Árvore solitária, Alvo, 0.5, 19.55855, 8.123967
17, Árvore solitária, Alvo, 0.6, 19.55855, 8.123967
18, Árvore solitária, Alvo, 0.75, 19.55855, 8.123967
19, Árvore solitária, Alvo, 0.9, 19.55855, 8.763158
20, Árvore solitária, Alvo, 0.99, 19.51252, 7.387755
21, Árvore solitária, Alvo, 0.5, 19.51252, 6.714286
22, Árvore solitária, Alvo, 0.6, 19.51252, 6.714286
23, Árvore solitária, Alvo, 0.75, 19.51252, 6.714286
