1; Árvore solitária; Alvo; 0,5; 0,5; 20,08156; 13,4127
2; Muralha da China; Alvo; 0,5; 0,5; 26,34422; 14,77612
3; Pedregulho; Alvo; 0,5; 0,5; 25,37157; 13,24
4; Árvore solitária; Alvo; 0,6; 0,5; 20,08156; 13,4127
5; Muralha da China; Alvo; 0,6; 0,5; 26,34422; 14,77612
6; Pedregulho; Alvo; 0,6; 0,5; 25,37157; 13,24
7; Árvore solitária; Alvo; 0,75; 0,5; 20,08156; 13,4127
8; Muralha da China; Alvo; 0,75; 0,5; 26,34422; 14,77612
9; Pedregulho; Alvo; 0,75; 0,5; 25,37157; 13,24
10; Árvore solitária; Alvo; 0,9; 0,5; 19,93232; 13
11; Muralha da China; Alvo; 0,9; 0,5; 26,13548; 13,03922
12; Pedregulho; Alvo; 0,9; 0,5; 25,43108; 12,75
13; Árvore solitária; Alvo; 0,95; 0,5; 20,17592; 13,56716
14; Muralha da China; Alvo; 0,95; 0,5; 26,41162; 13,2549
15; Pedregulho; Alvo; 0,95; 0,5; 24,30648; 9,227273
16; Árvore solitária; Alvo; 0,99; 0,5; 19,51252; 7,387755
17; Muralha da China; Alvo; 0,99; 0,5; 25,55855; 7,927835
18; Pedregulho; Alvo; 0,99; 0,5; 23,29859; 8,590909
19; Árvore solitária; Alvo; 0,5; 0,75; 19,73475; 9,442307
20; Muralha da China; Alvo; 0,5; 0,75; 26,122; 11,97701
21; Pedregulho; Alvo; 0,5; 0,75; 25,22792; 12,74074
22; Árvore solitária; Alvo; 0,6; 0,75; 19,73475; 9,442307
23; Muralha da China; Alvo; 0,6; 0,75; 26,122; 11,97701
24; Pedregulho; Alvo; 0,6; 0,75; 25,22792; 12,74074
25; Árvore solitária; Alvo; 0,75; 0,75; 19,73475; 9,442307
26; Muralha da China; Alvo; 0,75; 0,75; 26,122; 11,97701
27; Pedregulho; Alvo; 0,75; 0,75; 25,22792; 12,74074
28; Árvore solitária; Alvo; 0,9; 0,75; 19,63712; 10,09278
29; Muralha da China; Alvo; 0,9; 0,75; 26,01089; 12,08046
30; Pedregulho; Alvo; 0,9; 0,75; 25,22792; 12,54545
31; Árvore solitária; Alvo; 0,95; 0,75; 19,85375; 12,71642
32; Muralha da China; Alvo; 0,95; 0,75; 26,13548; 13,13461
33; Pedregulho; Alvo; 0,95; 0,75; 23,29859; 8,590909
34; Árvore solitária; Alvo; 0,99; 0,75; 19,51252; 7,387755
35; Muralha da China; Alvo; 0,99; 0,75; 25,55855; 7,927835
36; Pedregulho; Alvo; 0,99; 0,75; 23,29859; 8,590909
37; Árvore solitária; Alvo; 0,5; 0,01; 20,88071; 13,61111
38; Muralha da China; Alvo; 0,5; 0,01; 26,88071; 14,2381
39; Pedregulho; Alvo; 0,5; 0,01; 26,4771; 14,05128
40; Árvore solitária; Alvo; 0,6; 0,01; 20,88071; 13,61111
41; Muralha da China; Alvo; 0,6; 0,01; 26,88071; 14,2381
42; Pedregulho; Alvo; 0,6; 0,01; 26,36599; 14,05
43; Árvore solitária; Alvo; 0,75; 0,01; 20,88071; 13,61111
44; Muralha da China; Alvo; 0,75; 0,01; 26,88071; 14,2381
45; Pedregulho; Alvo; 0,75; 0,01; 26,36599; 14,05
46; Árvore solitária; Alvo; 0,9; 0,01; 20,25449; 13,66667
47; Muralha da China; Alvo; 0,9; 0,01; 26,41162; 13,2549
1; Árvore solitária; Alvo; 0,5; 0,5; 20,08156; 13,4127
2; Muralha da China; Alvo; 0,5; 0,5; 26,34422; 14,77612
3; Pedregulho; Alvo; 0,5; 0,5; 25,37157; 13,24
4; Árvore solitária; Alvo; 0,6; 0,5; 20,08156; 13,4127
5; Muralha da China; Alvo; 0,6; 0,5; 26,34422; 14,77612
