1, Árvore solitária, Alvo, 0.9, 20.05691, 13.72881
2, Muralha da China, Alvo, 0.9, 26.52832, 13.23913
3, Pedregulho, Alvo, 0.9, 25.293, 13.22917
1, Árvore solitária, Alvo, 0.9, 20.05691, 13.72881
2, Muralha da China, Alvo, 0.9, 26.52832, 13.23913
3, Pedregulho, Alvo, 0.9, 25.293, 13.22917
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 20.25449, 13.66667
2, Muralha da China, Alvo, 0.9, 26.41162, 13.2549
3, Pedregulho, Alvo, 0.9, 25.69932, 13.40816
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.9, 19.78077, 10.48421
2, Muralha da China, Alvo, 0.9, 26.15454, 14.42029
3, Pedregulho, Alvo, 0.9, 25.22792, 12.74074
1, Árvore solitária, Alvo, 0.9, 19.78077, 10.48421
2, Muralha da China, Alvo, 0.9, 26.15454, 14.42029
3, Pedregulho, Alvo, 0.9, 25.22792, 12.74074
1, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
2, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
