1, Árvore solitária, Alvo, 0.9, 19.51252, 6.421052
2, Muralha da China, Alvo, 0.9, 25.51252, 6.182857
3, Pedregulho, Alvo, 0.9, 23.29859, 8.855263
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
1, Árvore solitária, Alvo, 0.9, 20.14338, 13.47761
2, Muralha da China, Alvo, 0.9, 26.51484, 13.6
3, Pedregulho, Alvo, 0.9, 23.67795, 8.757576
1, Árvore solitária, Alvo, 0.9, 20.14338, 13.47761
2, Muralha da China, Alvo, 0.9, 26.51484, 13.6
3, Pedregulho, Alvo, 0.9, 23.67795, 8.757576
1, Árvore solitária, Alvo, 0.9, 20.52505, 13.07463
2, Muralha da China, Alvo, 0.9, 26.55528, 13.18367
3, Pedregulho, Alvo, 0.9, 23.70491, 8.815385
1, Árvore solitária, Alvo, 0.9, 20.52505, 13.0597
2, Muralha da China, Alvo, 0.9, 26.58782, 13.2449
3, Pedregulho, Alvo, 0.9, 23.5287, 8.8
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.68545, 13.02564
2, Muralha da China, Alvo, 0.9, 26.51484, 13.6
3, Pedregulho, Alvo, 0.9, 26.16283, 13.95556
1, Árvore solitária, Alvo, 0.9, 20.68545, 13.02564
2, Muralha da China, Alvo, 0.9, 26.51484, 13.6
1, Árvore solitária, Alvo, 0.9, 20.97276, 13.1579
2, Muralha da China, Alvo, 0.9, 26.97276, 13.81818
3, Pedregulho, Alvo, 0.9, 26.16283, 13.95556
1, Árvore solitária, Alvo, 0.9, 19.97276, 10.31373
2, Muralha da China, Alvo, 0.9, 26.14896, 12.45098
3, Pedregulho, Alvo, 0.9, 25.86204, 13.53333
1, Árvore solitária, Alvo, 0.9, 19.97276, 10.31373
2, Muralha da China, Alvo, 0.9, 26.14896, 12.45098
3, Pedregulho, Alvo, 0.9, 25.86204, 13.53333
1, Árvore solitária, Alvo, 0.9, 20.97276, 13.1579
2, Muralha da China, Alvo, 0.9, 26.97276, 13.81818
3, Pedregulho, Alvo, 0.9, 26.16283, 13.95556
1, Árvore solitária, Alvo, 0.9, 20.68545, 13.02564
2, Muralha da China, Alvo, 0.9, 26.51484, 13.6
3, Pedregulho, Alvo, 0.9, 26.16283, 13.95556
1, Árvore solitária, Alvo, 0.9, 20.64964, 13.16418
2, Muralha da China, Alvo, 0.9, 26.58782, 13.2449
3, Pedregulho, Alvo, 0.9, 26.19537, 13.46809
1, Árvore solitária, Alvo, 0.9, 20.64964, 13.16418
2, Muralha da China, Alvo, 0.9, 26.58782, 13.2449
3, Pedregulho, Alvo, 0.9, 26.19537, 13.46809
1, Árvore solitária, Alvo, 0.9, 20.64964, 13.16418
2, Muralha da China, Alvo, 0.9, 26.58782, 13.2449
3, Pedregulho, Alvo, 0.9, 26.19537, 13.46809
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
2, Muralha da China, Alvo, 0.9, 26.57434, 13.23913
3, Pedregulho, Alvo, 0.9, 26.10332, 13.34043
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
2, Muralha da China, Alvo, 0.9, 27.06481, 13.68889
3, Pedregulho, Alvo, 0.9, 26.10332, 13.34043
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
2, Muralha da China, Alvo, 0.9, 27.06481, 13.68889
3, Pedregulho, Alvo, 0.9, 26.10332, 13.34043
1, Árvore solitária, Alvo, 0.9, 20.1894, 13.54545
2, Muralha da China, Alvo, 0.9, 26.67197, 13.45652
3, Pedregulho, Alvo, 0.9, 23.63192, 8.463768
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
2, Muralha da China, Alvo, 0.9, 27.06481, 13.68889
3, Pedregulho, Alvo, 0.9, 26.10332, 13.34043
1, Árvore solitária, Alvo, 0.9, 20.45765, 13.9697
2, Muralha da China, Alvo, 0.9, 27.06481, 13.68889
3, Pedregulho, Alvo, 0.9, 25.68584, 13.40425
1, Árvore solitária, Alvo, 0.9, 20.34653, 13.86364
2, Muralha da China, Alvo, 0.9, 27.01879, 13.68889
3, Pedregulho, Alvo, 0.9, 25.33903, 13.20408
1, Árvore solitária, Alvo, 0.9, 20.34653, 13.86364
2, Muralha da China, Alvo, 0.9, 27.01879, 13.68889
3, Pedregulho, Alvo, 0.9, 25.33903, 13.20408
1, Árvore solitária, Alvo, 0.9, 20.34653, 13.86364
2, Muralha da China, Alvo, 0.9, 27.01879, 13.68889
3, Pedregulho, Alvo, 0.9, 25.33903, 13.20408
1, Árvore solitária, Alvo, 0.9, 20.39256, 13.90909
2, Muralha da China, Alvo, 0.9, 26.60689, 13.3913
3, Pedregulho, Alvo, 0.9, 25.33903, 13.20408
1, Árvore solitária, Alvo, 0.9, 20.39256, 13.90909
2, Muralha da China, Alvo, 0.9, 26.60689, 13.3913
1, Árvore solitária, Alvo, 0.9, 20.34653, 13.86364
2, Muralha da China, Alvo, 0.9, 27.01879, 13.68889
3, Pedregulho, Alvo, 0.9, 25.33903, 13.20408
1, Árvore solitária, Alvo, 0.9, 20.39256, 13.90909
2, Muralha da China, Alvo, 0.9, 26.60689, 13.3913
1, Árvore solitária, Centro, 0.9, 20.78867, 15.06557
2, Muralha da China, Centro, 0.9, 26.92674, 14.2381
3, Pedregulho, Centro, 0.9, 25.27394, 13.95455
1, Árvore solitária, Misto, 0.9, 20.97276, 13.05128
2, Muralha da China, Misto, 0.9, 26.97276, 13.71111
1, Árvore solitária, Misto, 0.9, 20.97276, 13.05128
1, Árvore solitária, Alvo, 0.9, 20.39256, 13.90909
2, Muralha da China, Alvo, 0.9, 26.60689, 13.3913
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
2, Muralha da China, Alvo, 0.9, 26.35212, 13.1
3, Pedregulho, Alvo, 0.9, 25.22792, 13.04082
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
2, Muralha da China, Alvo, 0.9, 26.35212, 13.1
3, Pedregulho, Alvo, 0.9, 25.22792, 13.04082
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
1, Árvore solitária, Alvo, 0.9, 20.55759, 13.1194
2, Muralha da China, Alvo, 0.9, 26.58782, 13.34
3, Pedregulho, Alvo, 0.9, 26.11681, 13.3617
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
2, Muralha da China, Alvo, 0.9, 26.35212, 13.1
3, Pedregulho, Alvo, 0.9, 25.22792, 13.04082
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
2, Muralha da China, Alvo, 0.9, 26.35212, 13.1
3, Pedregulho, Alvo, 0.9, 25.22792, 13.04082
1, Árvore solitária, Alvo, 0.9, 20.15685, 13.01493
