20, Muralha da China, Alvo, 0.1, 29.97276, 12.38597
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.5, 29.57761, 9.390244
24, Muralha da China, Centro, 0.25, 29.97276, 12.38597
25, Muralha da China, Centro, 0.1, 29.97276, 12.38597
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.5, 29.97276, 12.38597
29, Muralha da China, Misto, 0.25, 29.97276, 12.38597
30, Muralha da China, Misto, 0.1, 29.97276, 12.38597
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
35, Pedregulho, Alvo, 0.1, 25.16842, 8.565217
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.5, 25.16842, 8.553846
39, Pedregulho, Centro, 0.25, 25.16842, 8.553846
40, Pedregulho, Centro, 0.1, 25.16842, 8.553846
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.521739
43, Pedregulho, Misto, 0.5, 25.16842, 8.553846
44, Pedregulho, Misto, 0.25, 25.16842, 8.553846
45, Pedregulho, Misto, 0.1, 25.16842, 8.553846
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
4, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.51252, 7.227848
8, Árvore solitária, Centro, 0.5, 13.57761, 9.843137
9, Árvore solitária, Centro, 0.25, 14.01878, 10.09524
10, Árvore solitária, Centro, 0, 14.01878, 10.09524
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 7.21519
13, Árvore solitária, Misto, 0.5, 13.97276, 9.952381
14, Árvore solitária, Misto, 0.25, 13.97276, 9.952381
15, Árvore solitária, Misto, 0, 13.97276, 9.904762
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
18, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
19, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
20, Muralha da China, Alvo, 0, 29.97276, 12.26316
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.5, 29.57761, 9.390244
24, Muralha da China, Centro, 0.25, 29.97276, 12.38597
25, Muralha da China, Centro, 0, 29.97276, 12.38597
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.5, 29.97276, 12.38597
29, Muralha da China, Misto, 0.25, 29.97276, 12.38597
30, Muralha da China, Misto, 0, 29.97276, 12.35088
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
35, Pedregulho, Alvo, 0, 25.16842, 8.565217
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.5, 25.16842, 8.553846
39, Pedregulho, Centro, 0.25, 25.16842, 8.553846
40, Pedregulho, Centro, 0, 25.16842, 8.553846
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.521739
43, Pedregulho, Misto, 0.5, 25.16842, 8.553846
44, Pedregulho, Misto, 0.25, 25.16842, 8.553846
45, Pedregulho, Misto, 0, 25.16842, 8.553846
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 8.030769
3, Árvore solitária, Alvo, 0.5, 14.88071, 12.73333
4, Árvore solitária, Alvo, 0.25, 14.88071, 12.73333
5, Árvore solitária, Alvo, 0, 14.88071, 12.76667
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.54507, 9.686275
8, Árvore solitária, Centro, 0.5, 14.83469, 12.73333
9, Árvore solitária, Centro, 0.25, 14.83469, 12.73333
10, Árvore solitária, Centro, 0, 14.83469, 12.73333
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 9.111111
13, Árvore solitária, Misto, 0.5, 14.83469, 12.73333
14, Árvore solitária, Misto, 0.25, 14.83469, 12.73333
15, Árvore solitária, Misto, 0, 14.83469, 12.7
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.55855, 8.046296
18, Muralha da China, Alvo, 0.5, 30.88071, 14.56522
19, Muralha da China, Alvo, 0.25, 30.88071, 14.56522
20, Muralha da China, Alvo, 0, 30.88071, 14.58696
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.57761, 9.544304
23, Muralha da China, Centro, 0.5, 30.83469, 14.56522
24, Muralha da China, Centro, 0.25, 30.83469, 14.56522
25, Muralha da China, Centro, 0, 30.83469, 14.56522
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.57761, 9.373494
28, Muralha da China, Misto, 0.5, 30.83469, 14.56522
29, Muralha da China, Misto, 0.25, 30.83469, 14.56522
30, Muralha da China, Misto, 0, 30.83469, 14.54348
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.514286
33, Pedregulho, Alvo, 0.5, 27.89131, 14.15
34, Pedregulho, Alvo, 0.25, 27.89131, 14.15
35, Pedregulho, Alvo, 0, 27.89131, 14.175
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.514286
38, Pedregulho, Centro, 0.5, 27.54681, 14.38461
39, Pedregulho, Centro, 0.25, 27.54681, 14.38461
40, Pedregulho, Centro, 0, 27.22464, 14.38461
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.507246
43, Pedregulho, Misto, 0.5, 27.22464, 14.35897
44, Pedregulho, Misto, 0.25, 27.22464, 14.35897
45, Pedregulho, Misto, 0, 27.17862, 14.30769
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
4, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.51252, 7.227848
8, Árvore solitária, Centro, 0.5, 13.57761, 9.843137
9, Árvore solitária, Centro, 0.25, 14.01878, 10.09524
10, Árvore solitária, Centro, 0, 14.01878, 10.09524
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 7.21519
13, Árvore solitária, Misto, 0.5, 13.97276, 9.952381
14, Árvore solitária, Misto, 0.25, 13.97276, 9.952381
15, Árvore solitária, Misto, 0, 13.97276, 9.904762
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
18, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
