1; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
2; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
3; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
4; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
5; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
6; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
7; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
8; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
9; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
10; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
11; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
12; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
13; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
14; Árvore solitária; Alvo; 0,91; 0,75; 19,68314; 10,23711
1; Árvore solitária; Alvo; 0,91; 0,75; 20,65685; 1
1; Árvore solitária; Alvo; 0,91; 0,75; 19,82843; 1
1; Árvore solitária; Alvo; 0,91; 0,75; 19,62132; 2
1; Árvore solitária; Alvo; 0,9; 0,75; 19,82842; 2,967742
1; Árvore solitária; Alvo; 0,9; 0,75; 19,625; 11,82292
1; Árvore solitária; Alvo; 0,9; 0,75; 19,19036; 5,32653
1; Árvore solitária; Alvo; 1; 0,75; 19,05228; 4,285714
1; Árvore solitária; Alvo; 0,9; 0,75; 19; 1
1; Árvore solitária; Alvo; 0,9; 0,75; 19,63712; 10,09278
